dataset,tissue,marker,manual annotation,manual CLname,manual CLID,manual broadtype,DeepSeek-R1 annotation,DeepSeek-R1 broadtype,DeepSeek-R1 BLEU-1,DeepSeek-R1 BLEU-2,DeepSeek-R1 BLEU-avg,DeepSeek-R1 broadtype BLEU-avg,DeepSeek-R1 BLEU-avg-final,DeepSeek-V3 annotation,DeepSeek-V3 broadtype,DeepSeek-V3 BLEU-1,DeepSeek-V3 BLEU-2,DeepSeek-V3 BLEU-avg,DeepSeek-V3 broadtype BLEU-avg,DeepSeek-V3 BLEU-avg-final,DeepSeek-R1-RAG annotation,DeepSeek-R1-RAG broadtype,DeepSeek-R1-RAG BLEU-1,DeepSeek-R1-RAG BLEU-2,DeepSeek-R1-RAG BLEU-avg,DeepSeek-R1-RAG broadtype BLEU-avg,DeepSeek-R1-RAG BLEU-avg-final,DeepSeek-V3-RAG annotation,DeepSeek-V3-RAG broadtype,DeepSeek-V3-RAG BLEU-1,DeepSeek-V3-RAG BLEU-2,DeepSeek-V3-RAG BLEU-avg,DeepSeek-V3-RAG broadtype BLEU-avg,DeepSeek-V3-RAG BLEU-avg-final,DeepSeek-R1-KG-Graph-RAG annotation,DeepSeek-R1-KG-Graph-RAG broadtype,DeepSeek-R1-KG-Graph-RAG BLEU-1,DeepSeek-R1-KG-Graph-RAG BLEU-2,DeepSeek-R1-KG-Graph-RAG BLEU-avg,DeepSeek-R1-KG-Graph-RAG broadtype BLEU-avg,DeepSeek-R1-KG-Graph-RAG BLEU-avg-final,DeepSeek-V3-KG-Graph-RAG annotation,DeepSeek-V3-KG-Graph-RAG broadtype,DeepSeek-V3-KG-Graph-RAG BLEU-1,DeepSeek-V3-KG-Graph-RAG BLEU-2,DeepSeek-V3-KG-Graph-RAG BLEU-avg,DeepSeek-V3-KG-Graph-RAG broadtype BLEU-avg,DeepSeek-V3-KG-Graph-RAG BLEU-avg-final
Azimuth,PBMC,"CD8B, S100B, CCR7, RGS10, NOSIP, LINC02446, LEF1, CRTAM, CD8A, OXNAD1",CD8+ Naive T,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,t/nk cell,"CD8-positive, alpha-beta T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD8-positive, alpha-beta T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"naive thymus-derived CD8-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"naive thymus-derived CD8-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"Naive thymus-derived CD8-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"Naive thymus-derived CD8-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0
Azimuth,PBMC,"MKI67, CD8B, TYMS, TRAC, PCLAF, CD3D, CLSPN, CD3G, TK1, RRM2",CD8+ Proliferating T,,,t/nk cell,"proliferating CD8-positive, alpha-beta T cell",t/nk cell,30.33,11.29,20.81,100.0,36.65,"CD8-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,"activated CD8-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,"activated CD8-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,"CD8-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,"CD8-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0
Azimuth,PBMC,"CD8B, ANXA1, CD8A, KRT1, LINC02446, YBX3, IL7R, TRAC, NELL2, LDHB",CD8+ Central Memory T,"central memory CD8-positive, alpha-beta T cell",CL:0000907,t/nk cell,"CD8-positive, alpha-beta T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD8-positive, alpha-beta T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD8-positive, alpha-beta memory T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD8-positive, alpha-beta memory T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD8-positive, alpha-beta memory T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD8-positive, alpha-beta T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82
Azimuth,PBMC,"CCL5, GZMH, CD8A, TRAC, KLRD1, NKG7, GZMK, CST7, CD8B, TRGC2",CD8+ Effector Memory T,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,t/nk cell,"CD8-positive, alpha-beta T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD8-positive, alpha-beta cytotoxic T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"effector CD8-positive, alpha-beta T cell",t/nk cell,60.65,15.97,38.31,100.0,50.65,"effector CD8-positive, alpha-beta T cell",t/nk cell,60.65,15.97,38.31,100.0,50.65,"CD8-positive, alpha-beta cytotoxic T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD8-positive, alpha-beta cytotoxic T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82
Azimuth,PBMC,"PPP1R14A, LILRA4, AXL, IL3RA, SCT, SCN9A, LGMN, DNASE1L3, CLEC4C, GAS6",AXL+ Dendritic Cell,,,dendritic cell,plasmacytoid dendritic cell,dendritic cell,66.67,57.74,62.2,100.0,69.76,plasmacytoid dendritic cell,dendritic cell,66.67,57.74,62.2,100.0,69.76,AXL+ Dendritic Cell,dendritic cell,100.0,100.0,100.0,100.0,100.0,AXL+ Dendritic Cell,dendritic cell,100.0,100.0,100.0,100.0,100.0,plasmacytoid dendritic cell,dendritic cell,66.67,57.74,62.2,100.0,69.76,plasmacytoid dendritic cell,dendritic cell,66.67,57.74,62.2,100.0,69.76
Azimuth,PBMC,"CLEC9A, DNASE1L3, C1orf54, IDO1, CLNK, CADM1, FLT3, ENPP1, XCR1, NDRG2",Conventional Dendritic Cell 1,conventional dendritic cell,CL:0000990,dendritic cell,CD141-positive dendritic cell,dendritic cell,66.67,57.74,62.2,100.0,69.76,conventional dendritic cell,dendritic cell,100.0,100.0,100.0,100.0,100.0,CD141-positive myeloid dendritic cell,dendritic cell,50.0,40.82,45.41,100.0,56.33,CD141-positive myeloid dendritic cell,dendritic cell,50.0,40.82,45.41,100.0,56.33,CD141-positive myeloid dendritic cell,dendritic cell,50.0,40.82,45.41,100.0,56.33,Type 1 conventional dendritic cell,dendritic cell,80.0,63.25,71.62,100.0,77.3
Azimuth,PBMC,"FCER1A, HLA-DQA1, CLEC10A, CD1C, ENHO, PLD4, GSN, SLC38A1, NDRG2, AFF3",Conventional Dendritic Cell 2,conventional dendritic cell,CL:0000990,dendritic cell,CD1c-positive dendritic cell,dendritic cell,66.67,57.74,62.2,100.0,69.76,myeloid dendritic cell,dendritic cell,66.67,57.74,62.2,100.0,69.76,CD1c-positive myeloid dendritic cell,dendritic cell,50.0,40.82,45.41,100.0,56.33,Conventional Dendritic Cell 2,dendritic cell,100.0,100.0,100.0,100.0,100.0,CD1c-positive myeloid dendritic cell,dendritic cell,50.0,40.82,45.41,100.0,56.33,Type 2 conventional dendritic cell,dendritic cell,80.0,63.25,71.62,100.0,77.3
Azimuth,PBMC,"ITM2C, PLD4, SERPINF1, LILRA4, IL3RA, TPM2, MZB1, SPIB, IRF4, SMPD3",Plasmacytoid Dendritic Cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,plasmacytoid dendritic cell,dendritic cell,100.0,100.0,100.0,100.0,100.0,plasmacytoid dendritic cell,dendritic cell,100.0,100.0,100.0,100.0,100.0,plasmacytoid dendritic cell,dendritic cell,100.0,100.0,100.0,100.0,100.0,plasmacytoid dendritic cell,dendritic cell,100.0,100.0,100.0,100.0,100.0,plasmacytoid dendritic cell,dendritic cell,100.0,100.0,100.0,100.0,100.0,plasmacytoid dendritic cell,dendritic cell,100.0,100.0,100.0,100.0,100.0
Azimuth,PBMC,"S100A9, CTSS, S100A8, LYZ, VCAN, S100A12, IL1B, CD14, G0S2, FCN1",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,classical monocyte,macrophage/monocyte,50.0,18.62,34.31,100.0,47.45,classical monocyte,macrophage/monocyte,50.0,18.62,34.31,100.0,47.45,"CD14-positive, CD16-negative classical monocyte",macrophage/monocyte,36.79,36.79,36.79,100.0,49.43,"CD14-positive, CD16-negative classical monocyte",macrophage/monocyte,36.79,36.79,36.79,100.0,49.43,"CD14-positive, CD16-negative classical monocyte",macrophage/monocyte,36.79,36.79,36.79,100.0,49.43,classical monocyte,macrophage/monocyte,50.0,18.62,34.31,100.0,47.45
Azimuth,PBMC,"CDKN1C, FCGR3A, PTPRC, LST1, IER5, MS4A7, RHOC, IFITM3, AIF1, HES4",CD16+ Monocyte,,,macrophage/monocyte,non-classical monocyte,macrophage/monocyte,50.0,18.62,34.31,100.0,47.45,classical monocyte,macrophage/monocyte,50.0,18.62,34.31,100.0,47.45,"CD16-positive, CD14-low monocyte",macrophage/monocyte,0.0,0.0,0.0,100.0,20.0,CD16-positive monocyte,macrophage/monocyte,50.0,18.62,34.31,100.0,47.45,non-classical monocyte,macrophage/monocyte,50.0,18.62,34.31,100.0,47.45,non-classical monocyte,macrophage/monocyte,50.0,18.62,34.31,100.0,47.45
Azimuth,PBMC,"GNLY, TYROBP, NKG7, FCER1G, GZMB, TRDC, PRF1, FGFBP2, SPON2, KLRF1",CD56-dim Natural Killer,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,t/nk cell,gamma-delta T cell,t/nk cell,0.0,0.0,0.0,100.0,20.0,natural killer cell,t/nk cell,66.67,57.74,62.2,100.0,69.76,CD56-dim Natural Killer,t/nk cell,100.0,100.0,100.0,100.0,100.0,CD56-dim Natural Killer cell,t/nk cell,75.0,70.71,72.86,100.0,78.29,Mature NK T cell,t/nk cell,0.0,0.0,0.0,100.0,20.0,Mature NK T cell,t/nk cell,0.0,0.0,0.0,100.0,20.0
Azimuth,PBMC,"MKI67, KLRF1, TYMS, TRDC, TOP2A, FCER1G, PCLAF, CD247, CLSPN, ASPM",Proliferating Natural Killer,,,t/nk cell,gamma-delta T cell,t/nk cell,0.0,0.0,0.0,100.0,20.0,natural killer cell,t/nk cell,66.67,57.74,62.2,100.0,69.76,proliferating natural killer cell,t/nk cell,75.0,70.71,72.86,100.0,78.29,proliferating natural killer cell,t/nk cell,75.0,70.71,72.86,100.0,78.29,Gamma-delta T cell,t/nk cell,0.0,0.0,0.0,100.0,20.0,Natural killer cell,t/nk cell,66.67,57.74,62.2,100.0,69.76
Azimuth,PBMC,"XCL2, FCER1G, SPINK2, TRDC, KLRC1, XCL1, SPTSSB, PPP1R9A, NCAM1, TNFRSF11A",CD56-bright Natural Killer,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,t/nk cell,natural killer cell,t/nk cell,66.67,57.74,62.2,100.0,69.76,natural killer cell,t/nk cell,66.67,57.74,62.2,100.0,69.76,CD56-bright Natural Killer,t/nk cell,100.0,100.0,100.0,100.0,100.0,CD56-bright Natural Killer,t/nk cell,100.0,100.0,100.0,100.0,100.0,"CD16-negative, CD56-bright natural killer cell, human",t/nk cell,100.0,100.0,100.0,100.0,100.0,"CD16-negative, CD56-bright natural killer cell, human",t/nk cell,100.0,100.0,100.0,100.0,100.0
Azimuth,PBMC,"HBD, HBM, AHSP, ALAS2, CA1, SLC4A1, IFIT1B, TRIM58, SELENBP1, TMCC2",Erythroid cell,erythroid lineage cell,CL:0000764,erythroid cell,erythroblast,erythroid cell,0.0,0.0,0.0,100.0,20.0,erythrocyte,erythroid cell,0.0,0.0,0.0,100.0,20.0,Erythroid cell,erythroid cell,100.0,100.0,100.0,100.0,100.0,Erythroid cell,erythroid cell,100.0,100.0,100.0,100.0,100.0,Erythroblast,erythroid cell,0.0,0.0,0.0,100.0,20.0,Erythroblast,erythroid cell,0.0,0.0,0.0,100.0,20.0
Azimuth,PBMC,"SPINK2, PRSS57, CYTL1, EGFL7, GATA2, CD34, SMIM24, AVP, MYB, LAPTM4B",Hematopoietic stem and progenitor cell,hematopoietic stem cell,CL:0000037,stem cell,megakaryocyte-erythroid progenitor cell,progenitor cell,66.67,57.74,62.2,34.31,56.62,hematopoietic stem cell,progenitor cell,100.0,100.0,100.0,34.31,86.86,Hematopoietic stem and progenitor cell,progenitor cell,100.0,100.0,100.0,34.31,86.86,hematopoietic precursor cell,progenitor cell,66.67,19.14,42.9,34.31,41.18,Hematopoietic stem cell,stem cell,100.0,100.0,100.0,100.0,100.0,hematopoietic stem cell,stem cell,100.0,100.0,100.0,100.0,100.0
Azimuth,PBMC,"KIT, TRDC, TTLL10, LINC01229, SOX4, KLRB1, TNFRSF18, TNFRSF4, IL1R1, HPGDS",Innate Lymphoid Cell,innate lymphoid cell,CL:0001065,innate lymphoid cell,gamma delta T cell,t/nk cell,25.0,10.75,17.87,20.81,18.46,gamma-delta T cell,t/nk cell,33.33,13.53,23.43,20.81,22.91,Innate Lymphoid Cell,innate lymphoid cell,100.0,100.0,100.0,100.0,100.0,innate lymphoid cell,innate lymphoid cell,100.0,100.0,100.0,100.0,100.0,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",t/nk cell,0.0,0.0,0.0,20.81,4.16,T cell,t/nk cell,30.33,11.29,20.81,20.81,20.81
Azimuth,PBMC,"PPBP, PF4, NRGN, GNG11, CAVIN2, TUBB1, CLU, HIST1H2AC, RGS18, GP9",Platelet,platelet,CL:0000233,platelet,platelet,"platelet,megakaryocyte",100.0,100.0,100.0,100.0,100.0,platelet,"platelet,megakaryocyte",100.0,100.0,100.0,100.0,100.0,Platelet,"platelet,megakaryocyte",100.0,100.0,100.0,100.0,100.0,platelet,"platelet,megakaryocyte",100.0,100.0,100.0,100.0,100.0,Megakaryocyte,"platelet,megakaryocyte",0.0,0.0,0.0,100.0,20.0,megakaryocyte,"platelet,megakaryocyte",0.0,0.0,0.0,100.0,20.0
Azimuth,PBMC,"PTPN3, MIR4422HG, NUCB2, CAV1, DTHD1, GZMA, MYB, FXYD2, GZMK, AC004585.1",Double-negative T,double negative thymocyte,CL:0002489,t/nk cell,cytotoxic T cell,t/nk cell,33.33,13.53,23.43,100.0,38.74,T cell,t/nk cell,50.0,18.62,34.31,100.0,47.45,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,"CD8-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,Effector T cell,t/nk cell,33.33,13.53,23.43,100.0,38.74
Azimuth,PBMC,"TRDC, TRGC1, TRGC2, KLRC1, NKG7, TRDV2, CD7, TRGV9, KLRD1, KLRG1",gamma-delta T,gamma-delta T cell,CL:0000798,t/nk cell,gamma-delta T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,gamma-delta T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,gamma-delta T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,gamma-delta T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,Gamma-delta T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,Gamma-delta T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0
Azimuth,PBMC,"KLRB1, NKG7, GZMK, IL7R, SLC4A10, GZMA, CXCR6, PRSS35, RBM24, NCR3",Mucosal associated invariant T,mucosal invariant T cell,CL:0000940,t/nk cell,mucosal-associated invariant T cell,t/nk cell,75.0,70.71,72.86,100.0,78.29,mucosal invariant T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,mucosal invariant T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,mucosal invariant T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,Mucosal invariant T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,"Effector memory CD8-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0
Azimuth,Motor Cortex,"SLC1A2, ADGRV1, SLC1A3, GPC5, RNF219.AS1, ARHGAP24, CST3, HPSE2, AQP4, COL5A3",Astrocyte,astrocyte,CL:0000127,astrocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Motor Cortex,"EBF1, ABCG2, CLDN5, FLI1, LEF1, EMCN, IFI27, HLA.E, ADGRL4, CLEC3B",Endothelial cell,endothelial cell,CL:0000115,endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Motor Cortex,"CBLN2, EPHA6, LAMA2, CNTN5, PDZD2, CUX2, RASGRF2, FAM19A1, LINC01378, CA10","Layer 2-3 glutamatergic neuron, intratelencephalon-projecting",L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CL:4023047,neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Motor Cortex,"COL5A2, FAM19A1, VAT1L, COL24A1, CBLN2, NRP1, PTCHD1.AS, NRG1, HOMER1, SLC35F3","Layer 5 glutamatergic neuron, extratelencephalon-projecting",L5 extratelencephalic projecting glutamatergic cortical neuron,CL:4023041,neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Motor Cortex,"FSTL4, CNTN5, RORB, FSTL5, IL1RAPL2, CHN2, TOX, CPNE4, CADPS2, POU6F2","Layer 5 glutamatergic neuron, intratelencephalon-projecting",L5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CL:4023049,neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Motor Cortex,"TSHZ2, NPSR1.AS1, HTR2C, ITGA8, ZNF385D, ASIC2, CDH6, CRYM, NXPH2, CPNE4","Layer 5-6 glutamatergic neuron, near-projecting",L5/6 near-projecting glutamatergic neuron of the primary motor cortex,CL:4023043,neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Motor Cortex,"ADAMTSL1, KIAA1217, SORCS1, HS3ST4, TRPM3, TOX, SEMA3E, EGFEM1P, MEIS2, SEMA5A","Layer 6 glutamatergic neuron, corticothalamic-projecting",L6 corticothalamic-projecting glutamatergic cortical neuron,CL:4023042,neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Motor Cortex,"PTPRK, PDZRN4, CDH9, THEMIS, FSTL5, CDH13, CDH12, CBLN2, LY86.AS1, MLIP","Layer 6 glutamatergic neuron, intratelencephalon-projecting",L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CL:4023050,neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Motor Cortex,"THEMIS, RNF152, NTNG2, STK32B, KCNMB2, GAS2L3, OLFML2B, POSTN, B3GAT2, NR4A2","Layer 6 Car3+ glutamatergic neuron, intratelencephalon-projecting",,,neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
